"TimeCreated","RecordId","EventId","Channel","Provider","Level","Computer","UserSid","EventData","Message"
"2026-08-06T09:32:51","74211","158","System","Microsoft-Windows-Time-Service","Information","LAPTOP-8SM7PKPU","S-1-5-19","{""TimeProvider"":""VMICTimeProvider""}","The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well."
"2026-08-06T09:16:31","74210","19","System","Microsoft-Windows-WindowsUpdateClient","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""updateRevisionNumber"":""200"",""serviceGuid"":""{9482f4b4-e343-43b6-b170-9a65bc822c77}"",""updateGuid"":""{9477e609-e026-4836-ae84-2b51eb954ddc}"",""updateTitle"":""Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.26070.9) - Current Channel (Broad)""}","Installation Successful: Windows successfully installed the following update: Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.26070.9) - Current Channel (Broad)"
"2026-08-06T09:16:30","74209","7040","System","Service Control Manager","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""param4"":""WdAiNisDrv"",""param2"":""demand start"",""param1"":""Microsoft WdAiNisDrv Driver"",""param3"":""disabled""}","The start type of the Microsoft WdAiNisDrv Driver service was changed from demand start to disabled."
"2026-08-06T09:16:22","74208","7045","System","Service Control Manager","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""ServiceName"":""KslD"",""AccountName"":"""",""StartType"":""demand start"",""ServiceType"":""kernel mode driver"",""ImagePath"":""system32\\drivers\\wd\\KslD.sys""}","A service was installed in the system.  Service Name:  KslD Service File Name:  system32\drivers\wd\KslD.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  "
"2026-08-06T09:16:22","74207","6","System","Microsoft-Windows-FilterManager","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""DeviceNameLength"":""8"",""FinalStatus"":""0x0"",""DeviceName"":""WdFilter"",""DeviceVersionMinor"":""0"",""DeviceTime"":""2039-08-18T22:32:16.0000000Z"",""DeviceVersionMajor"":""10""}","File System Filter 'WdFilter' (10.0, ‎2039‎-‎08‎-‎18T22:32:16.000000000Z) has successfully loaded and registered with Filter Manager."
"2026-08-06T09:16:13","74206","1","System","Microsoft-Windows-FilterManager","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""DeviceNameLength"":""8"",""FinalStatus"":""0x0"",""DeviceName"":""WdFilter"",""DeviceVersionMinor"":""0"",""DeviceTime"":""2002-02-17T05:30:42.0000000Z"",""DeviceVersionMajor"":""10""}","File System Filter 'WdFilter' (Version 10.0, ‎2002‎-‎02‎-‎17T05:30:42.000000000Z) unloaded successfully."
"2026-08-06T09:16:12","74205","7040","System","Service Control Manager","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""param4"":""WdAiNisDrv"",""param2"":""disabled"",""param1"":""Microsoft WdAiNisDrv Driver"",""param3"":""demand start""}","The start type of the Microsoft WdAiNisDrv Driver service was changed from disabled to demand start."
"2026-08-06T09:16:07","74204","43","System","Microsoft-Windows-WindowsUpdateClient","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""updateRevisionNumber"":""200"",""updateGuid"":""{9477e609-e026-4836-ae84-2b51eb954ddc}"",""updateTitle"":""Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.26070.9) - Current Channel (Broad)""}","Installation Started: Windows has started installing the following update: Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.26070.9) - Current Channel (Broad)"
"2026-08-06T09:15:31","74203","37","System","Microsoft-Windows-Time-Service","Information","LAPTOP-8SM7PKPU","S-1-5-19","{""TimeSource"":""time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123-\u003e51.145.123.29:123)""}","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.145.123.29:123)."
"2026-08-06T09:15:31","74202","158","System","Microsoft-Windows-Time-Service","Information","LAPTOP-8SM7PKPU","S-1-5-19","{""TimeProvider"":""VMICTimeProvider""}","The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well."
