"TimeCreated","RecordId","EventId","Channel","Provider","Level","Computer","UserSid","EventData","Message"
"2026-08-02T10:49:03.913Z","73870","506","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""LidOpenState"":""false"",""BatteryRemainingCapacityOnEnter"":""49970"",""ExternalMonitorConnectedState"":""true"",""BootId"":""57"",""BatteryFullChargeCapacityOnEnter"":""50640"",""ScenarioInstanceId"":""175"",""Reason"":""12"",""ScenarioInstanceIdV2"":""175""}","The system is entering Modern Standby   Reason: Idle Timeout."
"2026-08-02T10:49:03.912Z","73869","566","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""BootId"":""57"",""Reason"":""12"",""MonitorReason"":""12"",""NextSessionId"":""175"",""PowerStateAc"":""true"",""PreviousSessionDurationInUs"":""301683420"",""PreviousSessionId"":""174"",""PreviousFullEnergyCapacityAtStart"":""50640"",""PreviousEnergyCapacityAtStart"":""49970"",""PreviousFullEnergyCapacityAtEnd"":""50640"",""NextSessionType"":""1"",""PreviousSessionType"":""0"",""PreviousEnergyCapacityAtEnd"":""49970""}","The system session has transitioned from 174 to 175.  Reason SessionUnlock   BootId: 57"
"2026-08-02T10:44:03.188Z","73868","1","System","Microsoft-Windows-IsolatedUserMode","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""Status"":""0"",""TrustletIdentity"":""4"",""ImageName"":""\\??\\C:\\Windows\\system32\\BioIso.exe"",""NormalProcessId"":""5896""}","Secure Trustlet \??\C:\Windows\system32\BioIso.exe Id 4 and Pid 5896 started with status STATUS_SUCCESS."
"2026-08-02T10:44:03.188Z","73867","5","System","Microsoft-Windows-IsolatedUserMode","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""Status"":""0"",""TrustletIdentity"":""0"",""ImageName"":""NULL"",""NormalProcessId"":""0""}","Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS."
"2026-08-02T10:44:02.229Z","73866","566","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""BootId"":""57"",""Reason"":""31"",""MonitorReason"":""31"",""NextSessionId"":""174"",""PowerStateAc"":""true"",""PreviousSessionDurationInUs"":""12536657"",""PreviousSessionId"":""172"",""PreviousFullEnergyCapacityAtStart"":""50640"",""PreviousEnergyCapacityAtStart"":""49970"",""PreviousFullEnergyCapacityAtEnd"":""50640"",""NextSessionType"":""0"",""PreviousSessionType"":""1"",""PreviousEnergyCapacityAtEnd"":""49970""}","The system session has transitioned from 172 to 174.  Reason InputAccelerometer   BootId: 57"
"2026-08-02T10:44:02.229Z","73865","507","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""NonDripsTimeActivatedInUs"":""0"",""ScreenOffEnergyCapacityAtStart"":""49970"",""IsCsSessionInProgressOnExit"":""false"",""NonResiliencyTimeInUs"":""12536845"",""ActiveResidencyInUs"":""12536845"",""ScreenOffFullEnergyCapacityAtStart"":""50640"",""FullChargeCapacityRatio"":""96"",""SleepEntered"":""false"",""ScreenOffHwDripsResidencyInUs"":""0"",""GdiOnTime"":""0"",""EnergyDrain"":""0"",""Reason"":""31"",""SleepFullEnergyCapacityAtEnd"":""0"",""ExitLatencyInUs"":""79199"",""SleepDurationInUs"":""0"",""DisconnectedStandby"":""false"",""AudioPlaybackInUs"":""0"",""ScreenOffFullEnergyCapacityAtEnd"":""50640"",""ExternalMonitorConnectedState"":""true"",""AoAcCompliantNic"":""true"",""FirstDripsEntryInUs"":""0"",""SleepEnergyCapacityAtStart"":""0"",""BatteryFullChargeCapacityOnExit"":""50640"",""ScenarioInstanceId"":""174"",""SleepHwDripsResidencyInUs"":""0"",""NonActivatedCpuInUs"":""0"",""ScreenOffDurationInUs"":""12536657"",""InputSuppressionActionCount"":""0"",""AudioPlaying"":""false"",""PowerStateAc"":""true"",""ScenarioInstanceIdV2"":""172"",""ResiliencyDripsTimeInUs"":""0"",""ResiliencyHwDripsTimeInUs"":""0"",""ScreenOffSwDripsResidencyInUs"":""0"",""DripsResidencyInUs"":""0"",""DwmSyncFlushTime"":""0"",""ModernSleepAppliedActionsBitmask"":""0"",""BatteryRemainingCapacityOnExit"":""49970"",""ScreenOffEnergyCapacityAtEnd"":""49970"",""PowerButtonSuppressionActionCount"":""0"",""DripsTransitions"":""0"",""HwDripsResidencyInUs"":""0"",""ModernSleepEnabledActionsBitmask"":""7"",""BootId"":""57"",""SleepSwDripsResidencyInUs"":""0"",""DurationInUs"":""12536845"",""SleepEnergyCapacityAtEnd"":""0"",""PowerSchemeInfo"":""4"",""NonAttributedCpuInUs"":""0"",""SleepFullEnergyCapacityAtStart"":""0"",""MonitorPowerOnTime"":""76942"",""LidOpenState"":""false""}","The system is exiting Modern Standby   Reason: Input Keyboard."
"2026-08-02T10:43:49.694Z","73864","506","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""LidOpenState"":""false"",""BatteryRemainingCapacityOnEnter"":""49970"",""ExternalMonitorConnectedState"":""true"",""BootId"":""57"",""BatteryFullChargeCapacityOnEnter"":""50640"",""ScenarioInstanceId"":""172"",""Reason"":""12"",""ScenarioInstanceIdV2"":""172""}","The system is entering Modern Standby   Reason: Idle Timeout."
"2026-08-02T10:43:49.692Z","73863","566","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""BootId"":""57"",""Reason"":""12"",""MonitorReason"":""12"",""NextSessionId"":""172"",""PowerStateAc"":""true"",""PreviousSessionDurationInUs"":""1755389490"",""PreviousSessionId"":""171"",""PreviousFullEnergyCapacityAtStart"":""50640"",""PreviousEnergyCapacityAtStart"":""50050"",""PreviousFullEnergyCapacityAtEnd"":""50640"",""NextSessionType"":""1"",""PreviousSessionType"":""0"",""PreviousEnergyCapacityAtEnd"":""49970""}","The system session has transitioned from 171 to 172.  Reason SessionUnlock   BootId: 57"
"2026-08-02T10:42:57.322Z","73862","20","System","Microsoft-Windows-WindowsUpdateClient","Error","LAPTOP-8SM7PKPU","S-1-5-18","{""updateRevisionNumber"":""1"",""errorCode"":""0x80073d02"",""serviceGuid"":""{855e8a7c-ecb4-4ca3-b045-1dfa50104289}"",""updateGuid"":""{bb5907c5-4a04-4931-b429-a803b85be0a8}"",""updateTitle"":""9NKSQGP7F2NH-5319275A.WhatsAppDesktop""}","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026-08-02T10:42:57.082Z","73861","43","System","Microsoft-Windows-WindowsUpdateClient","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""updateRevisionNumber"":""1"",""updateGuid"":""{bb5907c5-4a04-4931-b429-a803b85be0a8}"",""updateTitle"":""9NKSQGP7F2NH-5319275A.WhatsAppDesktop""}","Installation Started: Windows has started installing the following update: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop"
